Trap,Region,Transect,Habitat,DeciduousForest,EvergreenForest,Grassland,MixedForest,ShrubScrub,BarrenLand,Building,Pavement,CultivatedCrops,TrapNights,Cx.sal,Ae.albo,Ae.cin,Ae.vex,Ps.fer,Cx.err,Ps.col,Ae.tris,Cx.pip/q,Ae.can,Coq,An.quad,An.cruc,An.punc,Ae.hen,Ae.atl,Ae.dup,Ps.cyan,Ps.how,Ae.jap,Ae.inf,Ps.cil,Ur.saph
PR1.1,PrairieRidge,PR1,Field,1794.300449,0,24236.97791,0,4367.972363,1093.166432,23.10534889,0,0,11,75,0,0,11,0,6,121,0,29,0,0,1,0,0,0,0,0,2,0,0,0,0,0
PR1.2,PrairieRidge,PR1,NearField,12899.73311,2987.428291,12690.28061,0,2514.38541,410.341633,0,0,0,11,69,1,3,12,0,4,92,0,31,0,0,7,0,1,0,0,0,0,1,0,0,1,0
PR1.3,PrairieRidge,PR1,Edge,14570.22949,3263.297154,10824.64105,0,2449.599631,391.0267573,0,0,0,11,42,4,2,4,0,33,11,0,126,0,0,1,1,12,1,0,0,0,0,0,0,0,0
PR1.4,PrairieRidge,PR1,NearForest,15964.55391,3747.573076,9047.73054,0,2376.182531,356.6612551,0,0,0,11,10,37,2,5,3,17,1,2,12,3,0,2,0,2,1,0,0,0,0,0,1,0,2
PR1.5,PrairieRidge,PR1,Forest,15693.83261,13383.06369,3090.0943,0,0,0,0,592.970074,0,11,7,22,0,12,9,21,0,8,28,7,0,0,0,5,3,0,0,0,0,0,0,0,0
PR2.1,PrairieRidge,PR2,Field,7.736058586,586.538285,30177.44485,0,0,373.7086563,226.9691939,0,0,11,8,0,0,5,0,5,21,0,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0
PR2.2,PrairieRidge,PR2,NearField,11113.47939,0,20257.16175,0,0,0,0,0,0,10,3,0,1,4,0,4,2,0,5,0,1,1,1,1,0,0,0,0,0,0,0,0,0
PR2.3,PrairieRidge,PR2,Edge,13047.922,0,18322.71924,0,0,0,0,0,0,11,11,31,1,2,1,22,3,1,18,0,0,0,0,0,0,0,0,0,0,0,1,0,0
PR2.4,PrairieRidge,PR2,NearForest,14930.10375,9.056097032,16431.48151,0,0,0,0,0,0,11,3,34,0,0,8,15,0,0,1,0,0,0,0,0,3,2,0,0,0,0,0,0,0
PR2.5,PrairieRidge,PR2,Forest,22510.99975,7912.478337,947.2443186,0,0,0,0,0,0,9,0,8,5,6,12,5,0,4,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0
PR3.1,PrairieRidge,PR3,Field,772.8702258,281.6681681,30316.91908,0,0,0,49.35493617,0,0,10,49,11,0,12,0,2,367,0,29,0,0,2,0,1,0,0,0,0,0,0,0,2,0
PR3.2,PrairieRidge,PR3,NearField,12492.59802,5425.116439,13456.34084,0,0,0,0,0,0,11,10,19,0,8,0,3,21,1,19,0,0,2,0,1,0,1,0,0,0,0,0,0,0
PR3.3,PrairieRidge,PR3,Edge,13866.82741,5974.892617,11533.16234,0,0,0,0,0,0,11,9,55,4,12,0,9,9,2,37,0,0,1,0,6,0,0,1,0,0,0,1,0,0
PR3.4,PrairieRidge,PR3,NearForest,14888.05605,6682.652667,9810.760426,0,0,0,0,0,0,11,4,75,0,7,6,3,1,2,10,4,0,0,0,1,0,6,1,0,0,0,0,0,0
PR3.5,PrairieRidge,PR3,Forest,17478.6671,13913.64673,0,0,0,0,0,0,0,11,1,25,9,1,3,4,0,5,0,7,0,0,0,2,3,7,1,0,0,0,0,0,0
LW1.1,LakeWheeler,LW1,Field,216.6694778,1457.047746,16736.67901,278.6076908,0,628.6530449,448.9158305,0,11600.97516,11,51,0,2,19,1,55,2,0,8,0,4,4,12,6,0,0,0,0,0,0,0,0,0
LW1.2,LakeWheeler,LW1,NearField,7.072202297,9415.362611,13854.98574,6945.783704,89.45321274,0,284.9705636,0,771.9611048,11,26,13,2,69,5,186,4,1,2,0,9,5,6,6,0,0,0,0,1,0,2,0,0
LW1.3,LakeWheeler,LW1,Edge,0,9815.095194,12171.8804,8433.635145,0,0,235.8617753,89.45321274,623.6816696,11,4,4,1,1,2,222,1,2,1,0,2,3,0,7,0,1,0,0,0,0,0,0,0
LW1.4,LakeWheeler,LW1,NearForest,0,10096.09143,10480.5164,10016.52974,89.45321274,227.8339959,0,0,459.2305123,11,6,6,2,8,10,50,0,3,3,0,1,3,0,1,1,1,0,0,0,0,0,0,0
LW1.5,LakeWheeler,LW1,Forest,0,10868.00738,524.6218634,19695.42755,77.12263127,31.79951521,171.5257039,0,0,11,4,2,2,1,9,28,0,3,2,0,1,3,0,2,1,5,1,0,0,0,0,0,0
LW2.1,LakeWheeler,LW2,Field,0,0,25290.56762,0,0,1428.000508,52.67500388,0,4597.932479,10,40,0,0,7,0,1,43,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LW2.2,LakeWheeler,LW2,NearField,0,929.1500171,18861.00121,11223.56541,0,158.242377,200.2160324,0,0,11,8,0,2,7,0,1,6,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0
LW2.3,LakeWheeler,LW2,Edge,0,1019.113816,16954.35667,12997.54199,0,201.0756188,200.2160324,0,0,11,7,2,0,12,0,1,2,0,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0
LW2.4,LakeWheeler,LW2,NearForest,0,1133.846013,15038.12748,14778.86539,0,221.2853647,200.2160324,0,0,11,2,5,1,4,0,0,0,3,3,0,0,1,0,0,1,0,0,0,0,0,2,0,0
LW2.5,LakeWheeler,LW2,Forest,0,2727.36951,2321.787145,26281.64946,0,0,37.89193323,0,0,11,2,2,1,3,0,3,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
LW3.1,LakeWheeler,LW3,Field,0,2549.056153,22046.9738,0,337.4113142,4259.953473,1961.177018,0,229.643637,11,19,0,0,4,0,4,6,1,6,0,0,1,0,2,0,0,0,0,0,0,0,0,0
LW3.2,LakeWheeler,LW3,NearField,7288.710346,8278.94745,11282.91841,0,97.88374409,3198.39846,1237.687883,0,0,10,2,2,0,12,1,9,0,1,1,0,1,3,1,0,0,0,0,0,1,2,0,0,0
LW3.3,LakeWheeler,LW3,Edge,8981.195121,8261.614075,10307.47691,0,10.36025955,2755.616212,1068.630071,0,0,11,2,3,0,3,2,15,0,1,6,0,1,0,0,1,0,0,0,0,2,0,0,0,0
LW3.4,LakeWheeler,LW3,NearForest,10696.42534,8224.809775,9342.917931,0,0,2214.238308,904.0350959,0,0,11,1,5,2,3,5,12,0,7,3,0,0,1,0,4,1,0,0,0,0,0,0,0,0
LW3.5,LakeWheeler,LW3,Forest,22833.2838,7514.467145,644.5561931,0,0,153.0560938,224.3948808,0,0,11,0,1,0,9,11,9,0,6,0,0,1,0,0,1,1,2,0,0,0,0,0,0,0
